Material ID,Polymer Name (Formula),Decomposition Energy (eV/atom),Density (g/cm³),Thermal Conductivity (W/m·K),Heat Capacity (J/g·K)
mp-995234,HCO,N/A,1.459956305621531,0.2,1.5
mp-23680,H(CO)2,N/A,1.708093959411746,0.2,1.5
mp-675395,H(CO)2,N/A,1.779719273909909,0.2,1.5
mp-675784,H(CO)2,N/A,1.767854219537199,0.2,1.5
mp-1210976,LiH(CO2)2,N/A,1.085737294796372,0.2,1.5
mp-697873,SnHC2O3,N/A,3.424777032712109,0.2,1.5
mp-1191606,CsHCO3,N/A,3.043260005762615,0.2,1.5
mp-1192213,NaHCO3,N/A,2.100107979616079,0.2,1.5
mp-1195442,TlH(CO2)2,N/A,4.339869008361266,0.2,1.5
mp-1199783,ReH(CO)4,N/A,2.740304761678474,0.2,1.5
mp-1200051,RbH(CO)4,N/A,2.211725459223921,0.2,1.5
mp-1203452,KH(CO2)2,N/A,1.904401368996238,0.2,1.5
mp-1209330,RbH(CO2)2,N/A,2.558784536365742,0.2,1.5
mp-1212514,HC3ClO2,N/A,1.790957473658068,0.2,1.5
mp-1214198,CaH(CO2)2,N/A,1.909259817986102,0.2,1.5
mp-1238754,CsHCO3,N/A,3.365097999009148,0.2,1.5
mp-600152,FeHC2O3,N/A,2.880365439627067,0.2,1.5
mp-634431,KHCO3,N/A,2.228416714388276,0.2,1.5
mp-696396,NaHCO3,N/A,2.146348261590712,0.2,1.5
mp-696987,CsH(CO2)2,N/A,2.841967321084332,0.2,1.5
mp-698558,SiHC3O,N/A,0.9251401354717981,0.2,1.5
mp-720532,HOs7C20O19,N/A,3.873334732180508,0.2,1.5
mp-1205051,ReH(CO)4,N/A,3.006841642685287,0.2,1.5
mp-746778,MnHC3O4,N/A,1.963164754026975,0.2,1.5
mp-1093996,ZnHC4O3,N/A,1.201691430206242,0.2,1.5
mp-600169,CoHCO3,N/A,3.029114825429784,0.2,1.5
mp-1179716,RbHCO3,N/A,2.8069415171354093,0.2,1.5
mp-1190216,HCNO,N/A,1.454282964212212,0.2,1.5
mp-1190956,KHCO3,N/A,2.116973977422005,0.2,1.5
mp-1197162,MnH(CO)5,N/A,1.607864260246371,0.2,1.5
mp-23684,NaHCO2,N/A,1.8551739938066172,0.2,1.5
mp-24230,HCNO,N/A,1.606045041431016,0.2,1.5
mp-705527,ReH(CO)4,N/A,3.139882994782576,0.2,1.5
mp-738714,LiHCO2,N/A,1.3670221172112411,0.2,1.5
mp-1007768,ZnHCO4,N/A,2.181137306995998,0.2,1.5
mp-1022803,CoHCO4,N/A,2.414751480809484,0.2,1.5
mp-769935,CuHCO4,N/A,2.297615355869705,0.2,1.5
mp-1210505,Na2H(CO2)2,N/A,1.968821072189415,0.2,1.5
mp-1212506,HC2(NO2)2,N/A,0.9073880276690941,0.2,1.5
mp-1219040,SmHCO4,N/A,4.894134562252886,0.2,1.5
mp-1219550,SbHC2O5,N/A,3.380485975253515,0.2,1.5
mp-1220134,NdHCO4,N/A,4.632197656496981,0.2,1.5
mp-1224646,GdHCO4,N/A,5.129921335957862,0.2,1.5
mp-23724,KHCO3,N/A,2.256145456749704,0.2,1.5
mp-698267,CoHCO3,N/A,2.438656359,0.2,1.5
mp-722571,ReH(CO)4,N/A,3.000322126,0.2,1.5
mp-734199,MnH(CO)4,N/A,1.8250069399868192,0.2,1.5
mp-558579,TlHCO2,N/A,4.737030065549943,0.2,1.5
mp-557687,TlHCO2,N/A,4.778122054053189,0.2,1.5
mp-24328,RbHCO2,N/A,2.601823488315529,0.2,1.5
mp-542704,CsHCO2,N/A,3.057541512390026,0.2,1.5
mp-1194953,TbH(CO2)3,N/A,3.844245416336287,0.2,1.5
mp-1203970,CeH(CO2)3,N/A,3.267125767910034,0.2,1.5
mp-643989,KHCO2,N/A,1.9216962173903211,0.2,1.5
mp-1190987,HCN3O,N/A,1.143434830698806,0.2,1.5
mp-1213514,CsU2H(C2O7)2,N/A,3.731396898239479,0.2,1.5
mp-1199329,GdPH(CO3)2,N/A,3.176803766558288,0.2,1.5
mp-1192729,KHC(NO)2,N/A,1.7581260002141752,0.2,1.5
mp-1210975,NaBeHCO5,N/A,1.7533646574513422,0.2,1.5
mp-1193261,CsHC(NO)2,N/A,2.588685954381024,0.2,1.5
mp-1197490,KFe3H(CO)11,N/A,1.917037554947877,0.2,1.5
mp-1201933,HCS(OF)3,N/A,1.9323603526865711,0.2,1.5
mp-1212586,HC4NCl2O3,N/A,1.6471683213337371,0.2,1.5
mp-1212700,HAuC4(N2O)2,N/A,2.628252361469591,0.2,1.5
mp-707177,HC5N3(OF4)2,N/A,1.963071289224525,0.2,1.5
mp-707833,HRu6C16NO16,N/A,2.722950379080998,0.2,1.5
mp-728942,CoHRu(CO)6,N/A,2.407966815279359,0.2,1.5
mp-734828,CoHRu3(CO)13,N/A,2.422528668270526,0.2,1.5
mp-1202901,Na2YHC2O7,N/A,2.883603793275391,0.2,1.5
mp-733590,TlCuHCO4,N/A,5.229933300960869,0.2,1.5
mp-769201,LiCuHCO4,N/A,2.505821710300743,0.2,1.5
mp-1211898,KMgH(CO5)2,N/A,2.048219188759833,0.2,1.5
mp-1224650,HW2C9NO10,N/A,2.5876288468243382,0.2,1.5
mp-1225095,HRuRh(CO)6,N/A,2.309733857319458,0.2,1.5
mp-706652,HOs3C10ClO10,N/A,3.395206650950866,0.2,1.5
mp-707923,HOs6C18S2O19,N/A,3.688950198043758,0.2,1.5
mp-729593,HOs6C18S2O19,N/A,3.688949978166009,0.2,1.5
mp-743548,KCr2H(CO)10,N/A,1.671313869227188,0.2,1.5
mp-1197950,Rb3Mo2HCO13,N/A,3.365975989650945,0.2,1.5
mp-1199601,K3Mo2HCO13,N/A,2.9096079735468763,0.2,1.5
mp-1224668,HW2C9NO10,N/A,2.614834717281184,0.2,1.5
mp-1214331,CdHC2(NO)4,N/A,1.165271702819493,0.2,1.5
mp-1215072,Al2HPb(CO5)2,N/A,3.435631071346583,0.2,1.5
mp-1200380,MnHC4N3O5,N/A,2.323776601728043,0.2,1.5
mp-1211566,KHCN4O5,N/A,2.047861603338742,0.2,1.5
mp-601902,Tl2HPtC5N5O,N/A,4.301880495364754,0.2,1.5
mp-695900,SbHCSO3F8,N/A,2.7751941455248392,0.2,1.5
mp-1228969,Ba16Ca2HC12N25O4,N/A,4.284939628956469,0.2,1.5
mp-1203356,HC2SClOF2,N/A,1.6255995605285491,0.2,1.5
mp-1199273,CsBHC3OF9,N/A,2.536114847783102,0.2,1.5
mp-1197579,CrHC7NO5F2,N/A,1.555366596620016,0.2,1.5
mp-1214060,CaMg5P3HCO16,N/A,2.910135889009623,0.2,1.5
mp-1225274,FePHC4(OF)3,N/A,1.882454343995736,0.2,1.5
mp-697108,K3HRhC5N5O,N/A,2.171310078670966,0.2,1.5
mp-707466,HC2S2N(O2F3)2,N/A,2.085244848259793,0.2,1.5
mp-643306,HPbCSNO,N/A,4.427125092702363,0.2,1.5
mp-1217613,Ti2HCSe4Cl16O5,N/A,2.148134291188054,0.2,1.5
mp-1201024,Sb2HCSCl6O5F3,N/A,2.532932723638989,0.2,1.5
mp-1209817,ReHCSN2Cl3O,N/A,2.422847299169069,0.2,1.5
mp-1195948,AgHPbC2SN2O,N/A,4.162031309862073,0.2,1.5
mp-995206,H2CO,N/A,1.137173339158092,0.2,1.5
mp-23683,H2CO,N/A,1.361522334613689,0.2,1.5
mp-625082,H2CO,N/A,1.466250487986297,0.2,1.5
mp-1096984,H2CO,N/A,1.440241053471847,0.2,1.5
mp-1181348,H2CO2,N/A,1.3025394365148961,0.2,1.5
mp-558412,H2CO2,N/A,1.421441764714799,0.2,1.5
mp-625104,H2CO2,N/A,1.339696109144191,0.2,1.5
mp-625105,H2CO2,N/A,1.122395381863535,0.2,1.5
mp-555711,H2CO,N/A,1.5807794867035252,0.2,1.5
mp-1001080,H2CO3,N/A,1.707638038611703,0.2,1.5
mp-995226,H2CO,N/A,1.324655153261881,0.2,1.5
mp-559232,H2C3O4,N/A,1.504989408235208,0.2,1.5
mp-1228613,BaH2(CO3)2,N/A,1.7302363041148041,0.2,1.5
mp-644226,BaH2C2O5,N/A,3.2778423639729413,0.2,1.5
mp-1049181,SnH2C4O3,N/A,2.463241004523902,0.2,1.5
mp-1202876,Co2H2CO5,N/A,3.705482542,0.2,1.5
mp-1203662,FeH2(CO3)2,N/A,2.093559370406642,0.2,1.5
mp-1203827,CoH2(CO2)2,N/A,1.768367593717137,0.2,1.5
mp-1212515,H2C3N2O3,N/A,1.545867510844175,0.2,1.5
mp-23733,Cu3H2(CO4)2,N/A,3.569560923456768,0.2,1.5
mp-24332,H2C(NO)2,N/A,1.723395833325391,0.2,1.5
mp-504588,Cu2H2CO5,N/A,3.7866115784972143,0.2,1.5
mp-555000,MgH2(CO2)2,N/A,1.3234366486379852,0.2,1.5
mp-557581,ZnH2(CO2)2,N/A,1.806635068113847,0.2,1.5
mp-557769,CaH2C2O5,N/A,2.146358415456268,0.2,1.5
mp-558250,MoH2(CO2)2,N/A,2.4977145949116792,0.2,1.5
mp-601323,MoH2(CO2)2,N/A,2.378972576892652,0.2,1.5
mp-643934,CuH2(CO2)2,N/A,1.271482777429175,0.2,1.5
mp-696986,CsH2CO3,N/A,3.205761384675464,0.2,1.5
mp-698310,SnH2C4O3,N/A,1.965768927207558,0.2,1.5
mp-1227120,CaH2CO4,N/A,2.372131857825012,0.2,1.5
mp-560832,CaH2CO4,N/A,2.352667746221619,0.2,1.5
mp-1204815,CoH2CO3,N/A,2.631122913217535,0.2,1.5
mp-1190598,K2H2C2O5,N/A,2.047480126569177,0.2,1.5
mp-1190751,Cs2H2C2O5,N/A,3.226993106403678,0.2,1.5
mp-1212734,FeH2(CO2)2,N/A,2.145010130410932,0.2,1.5
mp-1214914,BaH2(CO2)4,N/A,2.138431242304921,0.2,1.5
mp-644265,CdH2(CO2)2,N/A,3.013814989141193,0.2,1.5
mp-696298,BH2CO,N/A,0.935765646,0.2,1.5
mp-974667,Rb2H2C2O5,N/A,2.774507628968021,0.2,1.5
mp-1197463,H2Pb(CO2)2,N/A,4.261403545861261,0.2,1.5
mp-1200465,H2C(NO)2,N/A,1.731826375156078,0.2,1.5
mp-1201866,H2C4(OF2)3,N/A,2.099743389,0.2,1.5
mp-556478,SrH2(CO2)2,N/A,2.579507614926154,0.2,1.5
mp-601226,BaH2(CO2)2,N/A,2.712234878402488,0.2,1.5
mp-690851,BaH2(CO2)2,N/A,3.125280448892984,0.2,1.5
mp-1215145,Ba2H2C4O9,N/A,3.157187389809125,0.2,1.5
mp-600347,H2Os3(CO)10,N/A,3.395002257716926,0.2,1.5
mp-720808,H2Ru6(CO)17,N/A,2.722326402197006,0.2,1.5
mp-721193,H2Ru4(CO)13,N/A,2.452517534817598,0.2,1.5
mp-758103,YH2(CO3)2,N/A,2.446987835,0.2,1.5
mp-995221,H2CSO4,N/A,1.836388394178811,0.2,1.5
mp-1197697,MgH2(CO2)2,N/A,1.6416794177207201,0.2,1.5
mp-721312,Na2H2CO4,N/A,2.229805744514202,0.2,1.5
mp-1222084,Mn4H2C8O17,N/A,2.497463679021849,0.2,1.5
mp-644256,LiH2CO3,N/A,1.424250517163792,0.2,1.5
mp-1193268,Cu3H2(CO4)2,N/A,3.6239750270094433,0.2,1.5
mp-709039,ZnH2(CO2)2,N/A,2.303078616081346,0.2,1.5
mp-1227189,CaH2C2O5,N/A,2.056294925918164,0.2,1.5
mp-558013,MnH2(CO2)2,N/A,2.198462759836408,0.2,1.5
mp-1201042,CuH2(CO2)2,N/A,2.474570555640317,0.2,1.5
mp-23685,CaH2(CO2)2,N/A,1.9216827110785912,0.2,1.5
mp-601287,CuH2(CO2)2,N/A,2.167205236878421,0.2,1.5
mp-655052,CuH2(CO2)2,N/A,2.364080672343429,0.2,1.5
mp-707727,H2C2N2O,N/A,1.346395573746341,0.2,1.5
mp-707849,H2Os5(CO)16,N/A,3.693786173949759,0.2,1.5
mp-698287,YH2C4O9,N/A,1.8870268558688341,0.2,1.5
mp-1197098,SrH2(CO2)2,N/A,2.145612681294396,0.2,1.5
mp-560210,CaH2(CO2)2,N/A,1.887126400860181,0.2,1.5
mp-560511,CaH2(CO2)2,N/A,1.919910402262718,0.2,1.5
mp-1201340,UP2H2CO13,N/A,2.823207167327909,0.2,1.5
mp-734875,H2Pb4C(Cl3O2)2,N/A,5.546320394723845,0.2,1.5
mp-1190805,CeP2H2CO6,N/A,3.531412509510844,0.2,1.5
mp-1190971,PrP2H2CO6,N/A,3.407770153470342,0.2,1.5
mp-1191082,NdP2H2CO6,N/A,3.490801511467202,0.2,1.5
mp-1191399,LaP2H2CO6,N/A,3.309762637266723,0.2,1.5
mp-1191555,PuP2H2CO6,N/A,4.728791357872563,0.2,1.5
mp-1191715,SmP2H2CO6,N/A,3.6498341075667833,0.2,1.5
mp-644418,CaH2CClO3,N/A,2.305117294755931,0.2,1.5
mp-760042,MnPH2CO6,N/A,2.6968898002636053,0.2,1.5
mp-727956,MnPH2(CO)4,N/A,1.8439110155241951,0.2,1.5
mp-1182554,Fe2PH2CO7,N/A,2.5832727746716353,0.2,1.5
mp-1195353,NaZnH2C3O7,N/A,2.368333632783376,0.2,1.5
mp-1195487,Na4Cd3H2(C2O7)2,N/A,3.684018441868738,0.2,1.5
mp-1197929,NdH2C2Cl2O9,N/A,2.932938554568547,0.2,1.5
mp-1198873,U2P2H2CO14,N/A,3.795459655045396,0.2,1.5
mp-1200522,Na2LaH2C5O11,N/A,2.522548407360223,0.2,1.5
mp-1200964,PrH2C2Cl2O9,N/A,2.883012195,0.2,1.5
mp-1202242,NaMgH2C3O7,N/A,1.957327346414849,0.2,1.5
mp-1204151,Na2CeH2C5O11,N/A,2.579151641006391,0.2,1.5
mp-1210269,NaMnH2C3O7,N/A,2.138802345701962,0.2,1.5
mp-1212361,KH2C4N3O4,N/A,1.088678308203301,0.2,1.5
mp-1215075,AgH2C7O3F5,N/A,2.327300853939073,0.2,1.5
mp-23823,Co2PH2CO7,N/A,3.351733854797458,0.2,1.5
mp-23838,Zn2PH2CO7,N/A,3.422183609046097,0.2,1.5
mp-510517,Fe2PH2CO7,N/A,3.141970990168228,0.2,1.5
mp-557603,K2MoH2(CO4)2,N/A,2.490301462321982,0.2,1.5
mp-559433,K3VH2(CO5)2,N/A,2.3171320021901822,0.2,1.5
mp-604909,Ca4Si2H2CO11,N/A,2.712126602187055,0.2,1.5
mp-728768,K3Mn3H2C12O13,N/A,2.145928276317128,0.2,1.5
mp-740758,H2Os4Pt(CO)15,N/A,3.692482511215948,0.2,1.5
mp-758109,Mn2PH2CO7,N/A,2.853269829029161,0.2,1.5
mp-758128,NaCoH2C3O7,N/A,2.366803267219248,0.2,1.5
mp-758659,H2RuC3(ClO2)2,N/A,2.312973710189411,0.2,1.5
mp-1179607,SbH2C(O2F3)2,N/A,2.595255951582326,0.2,1.5
mp-1200440,UH2C(OF)3,N/A,5.053999611813325,0.2,1.5
mp-1203196,H2Os3C8(SO4)2,N/A,3.453685745060724,0.2,1.5
mp-1211417,Mg2Cu2H2CO9,N/A,2.458081578805733,0.2,1.5
mp-758632,NaH2C2N3O,N/A,1.758288598130942,0.2,1.5
mp-560905,Na2NpH2(CO3)3,N/A,3.433984636923964,0.2,1.5
mp-707792,H2Ru3C8SO8,N/A,2.317538831837629,0.2,1.5
mp-720807,H2Ru6C18SO20,N/A,2.554395315231771,0.2,1.5
mp-1196868,Ag2H2C2N6O13,N/A,2.807877728568972,0.2,1.5
mp-1198291,NpP2H2CO8,N/A,3.942678605442649,0.2,1.5
mp-1199323,ThP2H2CO8,N/A,3.4154264364528633,0.2,1.5
mp-1199367,UP2H2CO9,N/A,3.459963013895308,0.2,1.5
mp-699136,NaAlH2CO5,N/A,2.3768384400654963,0.2,1.5
mp-1197788,UP2H2CO7,N/A,4.185916708547644,0.2,1.5
mp-707277,AgH2C2N3O,N/A,2.940179155603447,0.2,1.5
mp-707929,LiBH2C4O9,N/A,1.902091898541889,0.2,1.5
mp-697981,Cd3H2CSeO8,N/A,4.9213298979513365,0.2,1.5
mp-644285,KAlH2CO5,N/A,2.396888355506319,0.2,1.5
mp-644506,NaAlH2CO5,N/A,2.479984107686117,0.2,1.5
mp-866657,DyAgH2C2SO9,N/A,4.033930633981746,0.2,1.5
mp-866806,TbAgH2C2SO9,N/A,3.998598426859642,0.2,1.5
mp-1173102,Ti2H2CSe4Cl16O5,N/A,1.758415996596753,0.2,1.5
mp-1200489,Ti2H2CSe4Cl16O5,N/A,2.160479676883512,0.2,1.5
mp-693432,Ti2H2CSe4Cl16O5,N/A,2.392882579204777,0.2,1.5
mp-1194811,UAg2P2H2CO8,N/A,5.073991359825645,0.2,1.5
mp-1195779,NaNdP2H2CO7,N/A,3.344592142939348,0.2,1.5
mp-1196129,Na2Fe3P2H2(C4O9)2,N/A,2.371740474039475,0.2,1.5
mp-1196604,NaCeP2H2CO7,N/A,3.314825325729596,0.2,1.5
mp-1197360,Na2Mn3P2H2(C4O9)2,N/A,2.278260563874228,0.2,1.5
mp-1198602,DyH2C2SNO9,N/A,3.126430465402964,0.2,1.5
mp-1199113,NaTbP2H2CO7,N/A,3.619048332172801,0.2,1.5
mp-1199285,ErH2C2SNO9,N/A,3.163135842477569,0.2,1.5
mp-1199480,KTbH2C2SO9,N/A,3.395164669192137,0.2,1.5
mp-1200033,GdH2C2SNO9,N/A,2.959321979031817,0.2,1.5
mp-1201229,SiH2CS(OF)3,N/A,1.664884848809498,0.2,1.5
mp-1202043,CeH2C2SNO9,N/A,2.947789498,0.2,1.5
mp-1202938,NaGdP2H2CO7,N/A,3.557796136216075,0.2,1.5
mp-1203992,TbH2C2SNO9,N/A,3.022523144952071,0.2,1.5
mp-1204475,RbCu2H2C3N3O,N/A,2.582156819555139,0.2,1.5
mp-1204537,NaDyP2H2CO7,N/A,3.682402363,0.2,1.5
mp-1212205,KCoH2CN4O7,N/A,1.697953648,0.2,1.5
mp-1212322,KGdH2C2SO9,N/A,3.2964893939986952,0.2,1.5
mp-1212621,H2C3NClOF4,N/A,1.716318086087989,0.2,1.5
mp-1238260,CsMoH2C2SO7,N/A,2.625191383604854,0.2,1.5
mp-601228,NaH2CSO4F3,N/A,1.637222889497823,0.2,1.5
mp-605166,KDyH2C2SO9,N/A,3.406176998094318,0.2,1.5
mp-699253,K2H2C3S2O7F6,N/A,2.266462795783919,0.2,1.5
mp-774223,K2H2OsCCl5O2,N/A,2.950050718223235,0.2,1.5
mp-1229322,BaCoH2C3ClO8,N/A,2.907074089724201,0.2,1.5
mp-723065,H2C2S3N2(OF)6,N/A,2.178698203163776,0.2,1.5
mp-735584,Rb2FeH2C5(N3O)2,N/A,2.180635522809504,0.2,1.5
mp-1196083,KH2AuC4N4O,N/A,2.652473798905727,0.2,1.5
mp-1196706,SbH2CS(OF3)3,N/A,2.52778196,0.2,1.5
mp-1212169,K2CdH2C8(N3O4)2,N/A,2.161306315903833,0.2,1.5
mp-1221113,NaLuP2H2CO7,N/A,3.482275513538197,0.2,1.5
mp-707443,Na7AlH2C4(O3F)4,N/A,2.459876434688916,0.2,1.5
mp-690844,FeH2C4N4Cl6O,N/A,1.552285551381324,0.2,1.5
mp-1200387,NaFePH2(CO3)2,N/A,2.704035018155348,0.2,1.5
mp-1202889,NaZnPH2(CO3)2,N/A,2.890600840657674,0.2,1.5
mp-601202,NaH2CSO4F3,N/A,1.986246026987415,0.2,1.5
mp-720719,Ca2Y2Si4H2CO16,N/A,3.285598320820513,0.2,1.5
mp-722245,K2H2C2S2N2O,N/A,1.697385859429542,0.2,1.5
mp-690847,AsH2C2NCl2O,N/A,1.9205051469856742,0.2,1.5
mp-1198212,CsMo2H2C7S7(OF)21,N/A,2.147192803801426,0.2,1.5
mp-554761,BaH2C4S4N2(O3F4)3,N/A,2.371106521409843,0.2,1.5
mp-711343,H2RuC8S3N(ClO)3,N/A,1.378981920296889,0.2,1.5
mp-1212142,KCu2H2C2BrN2O,N/A,2.693463175447475,0.2,1.5
mp-643643,BaH2CSNClO,N/A,2.838334894667104,0.2,1.5
mp-698252,KV2H2C8N2(OF)5,N/A,1.6949453055002972,0.2,1.5
mp-1181214,H3CO3,N/A,1.609395246728368,0.2,1.5
mp-1181349,H3CO3,N/A,1.513729896868655,0.2,1.5
mp-1194227,H3CO3,N/A,1.650628128792302,0.2,1.5
mp-1102469,LiH3C2O5,N/A,1.7131523657069012,0.2,1.5
mp-1202487,InH3C2O5,N/A,2.811823643216115,0.2,1.5
mp-1194779,CuH3C3O4,N/A,2.343603884239161,0.2,1.5
mp-1199075,H3CSO3,N/A,1.474984955240188,0.2,1.5
mp-1208136,VH3(C2O3)2,N/A,1.9087596733477632,0.2,1.5
mp-23755,BaH3C3O7,N/A,2.707803494799491,0.2,1.5
mp-557528,ScH3(CO2)3,N/A,1.8396239197468032,0.2,1.5
mp-736390,SrH3C3O7,N/A,2.518272446762276,0.2,1.5
mp-1212532,H3CN4O,N/A,1.296093185898656,0.2,1.5
mp-23664,YH3(CO2)3,N/A,2.9241248995843963,0.2,1.5
mp-23771,SmH3(CO2)3,N/A,3.570678591608989,0.2,1.5
mp-23837,NdH3(CO2)3,N/A,3.403843496637723,0.2,1.5
mp-642729,LaH3(CO2)3,N/A,3.205350586,0.2,1.5
mp-642731,CeH3(CO2)3,N/A,3.303728342902079,0.2,1.5
mp-642991,TbH3(CO2)3,N/A,3.862911040503355,0.2,1.5
mp-642999,TmH3(CO2)3,N/A,4.129539518007773,0.2,1.5
mp-1193413,ScH3(CO2)3,N/A,1.753157754809576,0.2,1.5
mp-1200352,InH3(CO2)3,N/A,2.484662176,0.2,1.5
mp-1203534,H3CN5O4,N/A,1.624689630509118,0.2,1.5
mp-726434,Mo2H3(CO2)4,N/A,2.4326039045730923,0.2,1.5
mp-1191449,UH3CO6,N/A,4.204422780607141,0.2,1.5
mp-1207864,VH3CO5,N/A,2.406082514576796,0.2,1.5
mp-643365,KH3C2O3,N/A,1.7455763153051231,0.2,1.5
mp-696174,NaH3C2O5,N/A,1.894587673007782,0.2,1.5
mp-730460,Na5H3(CO3)4,N/A,2.402627586021559,0.2,1.5
mp-738668,NaH3(CO2)2,N/A,1.5455939382403492,0.2,1.5
mp-556503,LiH3CO3,N/A,1.437909728,0.2,1.5
mp-1224588,H3CNO2,N/A,1.539731246226776,0.2,1.5
mp-1001112,Na2H3CO6,N/A,2.080481758677208,0.2,1.5
mp-1198088,KH3CO6,N/A,1.854473524823891,0.2,1.5
mp-23682,KH3(CO2)2,N/A,1.6687915122440362,0.2,1.5
mp-23688,RbH3(CO2)2,N/A,2.054684536753082,0.2,1.5
mp-1192496,H3CO2F,N/A,1.375238397872259,0.2,1.5
mp-1204987,TiH3CO5,N/A,2.294788053037147,0.2,1.5
mp-1193570,NaH3C4O5,N/A,1.672340891968477,0.2,1.5
mp-1222511,MnH3C5NO6,N/A,1.8254474054420382,0.2,1.5
mp-1191702,K2H3CO4F,N/A,1.994453507364134,0.2,1.5
mp-605374,CsU2H3(C2O7)2,N/A,4.007215355455374,0.2,1.5
mp-1196577,LiH3CN2O,N/A,1.340309727326137,0.2,1.5
mp-1202931,NaH3CN2O,N/A,1.614359887951521,0.2,1.5
mp-1211072,MnH3C2N9O,N/A,2.147260870184118,0.2,1.5
mp-1212653,K3FeH3(CO2)6,N/A,1.795568365554772,0.2,1.5
mp-24357,H3CSO4F3,N/A,1.873364146719573,0.2,1.5
mp-605052,PH3W(CO)5,N/A,2.448243698207755,0.2,1.5
mp-644221,H3CSClO,N/A,1.587055997819976,0.2,1.5
mp-707364,AgH3CN3O4,N/A,2.6651764305711962,0.2,1.5
mp-707931,H3Os4C12ClO12,N/A,3.560355015551756,0.2,1.5
mp-708066,Sb6H3CCl13O10,N/A,3.118627005122769,0.2,1.5
mp-559039,PH3PbCO3,N/A,3.473046859505793,0.2,1.5
